timestamps,TP9,AF7,AF8,TP10,Right AUX
1717570571.293,267.949,455.311,749.451,499.634,678.132
1717570571.333,586.667,710.366,395.678,634.615,650.330
1717570571.373,253.443,548.791,684.579,491.172,558.059
1717570571.413,291.319,594.725,679.341,520.989,507.692
1717570571.453,576.593,1067.766,896.117,711.172,595.934
1717570571.493,747.033,571.355,744.212,734.139,835.275
1717570571.533,1096.777,1242.637,1037.949,985.568,793.773
1717570571.573,511.319,414.615,603.590,636.227,655.165
1717570571.613,1100.806,1126.190,995.238,923.516,890.879
1717570571.653,529.048,779.670,798.205,693.443,594.322
1717570571.693,313.480,465.385,629.780,545.971,643.077
1717570571.733,493.187,737.363,788.938,650.733,657.180
1717570571.773,1235.788,1099.597,957.363,1012.967,790.147
1717570571.813,832.454,983.150,958.169,826.410,758.315
1717570571.853,371.502,495.604,582.637,570.952,592.308
1717570571.893,1136.264,1170.513,999.267,987.582,821.172
1717570571.933,518.169,610.037,645.495,674.103,714.799
1717570571.973,1191.465,1025.055,940.037,990.806,780.879
1717570572.013,967.033,1323.626,1112.088,843.333,775.238
1717570572.053,1199.927,800.220,866.300,1046.007,1133.040
1717570572.093,1156.410,1230.549,1040.769,977.106,848.571
1717570572.133,1032.308,905.788,838.498,887.656,878.791
1717570572.173,599.963,608.425,662.418,704.725,648.718
1717570572.213,1141.099,1027.070,958.974,971.465,887.253
1717570572.253,480.293,563.700,599.560,659.597,553.626
1717570572.293,1085.495,692.234,771.612,960.989,981.941
1717570572.333,473.040,858.242,790.549,623.333,605.604
1717570572.373,410.586,517.363,581.026,581.026,723.663
1717570572.413,643.480,953.333,880.806,735.751,710.366
1717570572.453,801.026,794.982,718.022,807.875,751.868
1717570572.493,904.579,1118.132,979.121,872.344,697.473
1717570572.533,1024.652,770.806,782.894,908.608,905.385
1717570572.573,1103.626,954.945,872.747,961.392,844.139
1717570572.613,1156.410,1091.135,950.110,997.656,838.901
1717570572.653,271.978,715.604,717.216,440.806,550.000
1717570572.693,714.799,640.659,682.967,711.172,766.374
1717570572.733,458.938,513.333,603.590,647.509,585.861
1717570572.773,493.993,613.260,655.165,610.037,605.201
1717570572.813,916.264,984.359,839.707,884.432,831.245
1717570572.853,792.967,603.993,664.835,776.850,796.190
1717570572.893,1131.026,1101.612,1001.685,999.670,863.480
1717570572.933,1011.355,853.407,847.766,933.187,881.612
1717570572.973,657.180,1075.421,920.696,719.231,614.066
1717570573.013,752.674,444.029,599.158,756.300,898.535
1717570573.053,911.429,754.286,728.498,890.073,721.648
1717570573.093,550.806,608.425,614.469,648.718,614.066
1717570573.133,1231.355,1310.733,1075.018,1086.300,886.044
1717570573.173,532.674,670.879,0.000,574.176,494.799
1717570573.213,1154.799,528.645,983.150,1587.143,702.308
1717570573.253,794.579,1060.110,535.092,732.930,952.527
1717570573.293,790.952,1140.696,701.502,717.619,601.575
1717570573.333,721.648,528.645,525.018,606.813,772.418
1717570573.373,1013.370,1627.436,996.044,1243.846,829.634
1717570573.413,755.092,1243.040,1032.711,810.696,641.868
1717570573.453,672.088,0.000,457.729,722.454,728.901
1717570573.493,602.381,888.462,403.736,348.132,519.377
1717570573.533,1064.139,1351.429,884.835,1123.773,910.623
1717570573.573,703.114,0.000,1039.560,550.000,588.278
1717570573.613,1494.872,0.806,115.238,1399.377,803.443
1717570573.653,751.868,980.733,932.381,834.066,728.095
1717570573.693,1032.711,1162.857,969.853,1028.278,1008.535
1717570573.733,507.692,213.150,544.762,458.132,531.868
1717570573.773,887.253,581.831,735.751,874.359,1068.974
1717570573.813,961.392,965.018,805.861,961.392,838.095
1717570573.853,1061.319,1321.612,757.509,1080.256,991.209
1717570573.893,825.201,770.000,730.110,814.322,544.359
1717570573.933,852.198,1263.187,1018.608,866.703,711.978
1717570573.973,424.286,118.864,453.700,402.125,816.337
1717570574.013,795.385,702.308,692.234,803.040,758.315
1717570574.053,1004.103,1356.667,1079.048,1027.473,900.549
1717570574.093,544.762,333.223,555.641,533.883,534.286
1717570574.133,929.158,928.352,807.070,937.216,847.766
1717570574.173,861.465,606.007,718.828,863.077,877.180
1717570574.213,870.733,1249.084,1051.245,881.209,712.381
1717570574.253,564.505,165.201,487.143,531.062,536.300
1717570574.293,839.304,1298.645,1075.421,847.766,740.586
1717570574.333,622.930,985.165,923.516,576.190,515.348
1717570574.373,884.835,826.007,746.630,886.447,904.176
1717570574.413,560.073,471.429,707.143,558.864,483.919
1717570574.453,516.557,55.201,478.278,404.542,489.158
1717570574.493,1021.026,1583.114,1158.828,1083.077,960.183
1717570574.533,673.700,708.352,851.795,639.451,605.201
1717570574.573,1024.652,967.436,982.344,1068.974,1266.813
1717570574.613,492.784,333.223,580.623,436.374,407.363
1717570574.653,830.037,1228.938,1068.571,848.169,769.597
1717570574.693,715.604,1007.729,927.949,710.769,628.571
1717570574.733,468.205,409.377,665.641,476.667,494.396
1717570574.773,486.337,176.886,521.795,427.912,481.099
1717570574.813,981.538,1050.440,820.366,978.718,820.366
1717570574.853,689.414,426.300,612.857,662.820,632.601
1717570574.893,752.271,550.000,647.106,713.590,731.722
1717570574.933,1030.696,1588.755,1096.374,1070.183,889.267
1717570574.973,570.952,506.484,611.245,494.396,532.271
1717570575.013,535.495,179.304,557.656,495.201,495.604
1717570575.053,986.374,1101.209,871.538,1002.894,927.949
1717570575.093,1105.238,1419.927,998.059,1120.952,921.502
1717570575.133,494.799,112.418,515.751,436.777,606.813
1717570575.173,990.000,848.169,804.652,1042.381,946.081
1717570575.213,691.429,526.630,872.747,672.894,657.985
1717570575.253,911.026,1254.322,855.421,955.751,869.927
1717570575.293,566.923,420.256,620.110,502.051,497.216
1717570575.333,924.725,1190.256,928.352,969.048,1008.132
1717570575.373,855.018,1333.700,1038.755,860.659,767.180
1717570575.413,590.293,290.916,579.011,643.883,620.110
1717570575.453,954.542,544.762,758.315,967.839,1264.396
1717570575.493,1100.000,1529.927,1079.048,1110.073,958.571
1717570575.533,842.930,921.099,788.535,833.260,823.993
1717570575.573,752.674,445.641,654.359,753.480,788.535
1717570575.613,719.231,580.220,705.934,557.656,498.828
1717570575.653,953.333,1246.264,963.810,1008.535,942.051
1717570575.693,944.066,1212.015,929.560,987.985,921.099
1717570575.733,735.348,985.971,905.385,763.150,739.377
1717570575.773,784.908,720.037,683.370,778.462,666.044
1717570575.813,1116.923,1307.106,0.000,904.982,834.872
1717570575.853,799.414,320.733,420.659,738.571,807.070
1717570575.893,656.777,748.242,916.264,711.575,861.465
1717570575.933,963.004,1423.956,963.810,962.198,809.487
1717570575.973,610.842,322.344,559.670,581.429,562.491
1717570576.013,919.890,1614.139,1620.183,959.780,711.172
1717570576.053,933.590,1481.575,1077.436,956.960,750.659
1717570576.093,447.656,305.018,613.663,303.004,633.407
1717570576.133,853.407,887.253,844.542,873.150,786.923
1717570576.173,726.081,750.256,861.465,721.648,733.736
1717570576.213,712.381,838.498,867.509,707.949,686.190
1717570576.253,930.366,922.308,875.971,867.509,746.630
1717570576.293,642.674,547.985,646.300,647.106,614.469
1717570576.333,882.418,835.678,885.641,858.645,1017.399
1717570576.373,673.700,837.289,774.432,725.275,605.604
1717570576.413,847.363,808.278,811.905,830.440,783.700
1717570576.453,756.300,782.088,734.542,762.747,681.758
1717570576.493,444.029,707.949,666.044,503.260,653.956
1717570576.533,782.088,1035.531,936.410,812.308,767.582
1717570576.573,753.883,541.538,667.656,730.110,737.766
1717570576.613,930.366,1201.135,1034.725,908.608,871.136
1717570576.653,576.996,489.963,597.949,678.132,643.077
1717570576.693,939.231,1336.520,1109.670,890.476,824.396
1717570576.733,630.586,327.985,546.777,691.026,647.106
1717570576.773,777.656,473.443,609.231,734.542,729.304
1717570576.813,854.615,628.571,731.319,843.333,811.905
1717570576.853,454.103,206.703,348.938,436.374,722.051
1717570576.893,931.172,1330.073,1093.553,954.139,746.227
1717570576.933,527.839,292.125,483.516,518.169,519.377
1717570576.973,692.234,913.846,842.930,742.198,655.971
1717570577.013,773.626,570.549,665.641,773.223,681.355
1717570577.053,886.044,1417.509,1178.974,884.835,938.828
1717570577.093,686.593,383.590,558.864,673.297,672.088
1717570577.133,1014.176,1323.626,1148.755,1019.817,867.106
1717570577.173,1094.359,1253.516,1112.491,1070.989,1005.714
1717570577.213,487.949,304.615,434.762,514.139,664.835
1717570577.253,579.414,358.205,500.440,585.055,612.857
1717570577.293,1043.993,1321.209,1128.608,992.418,929.963
1717570577.333,643.077,144.249,411.392,641.465,664.835
1717570577.373,1025.458,1043.590,940.440,981.538,890.476
1717570577.413,542.747,661.612,659.597,579.011,560.476
1717570577.453,857.839,620.110,710.366,843.736,851.795
1717570577.493,680.952,398.095,574.579,681.758,673.297
1717570577.533,844.945,641.062,729.304,824.396,834.872
1717570577.573,726.886,471.429,591.905,711.575,657.180
1717570577.613,791.758,601.172,676.117,774.835,826.007
1717570577.653,871.538,999.670,933.590,879.597,737.363
1717570577.693,761.941,799.817,741.795,769.194,659.194
