TP9,AF7,AF8,TP10,Right AUX
267.949,455.311,749.451,499.634,678.132
586.667,710.366,395.678,634.615,650.33
253.443,548.791,684.579,491.172,558.059
291.319,594.725,679.341,520.989,507.692
576.593,1067.766,896.117,711.172,595.934
747.033,571.355,744.212,734.139,835.275
1096.777,1242.637,1037.949,985.568,793.773
511.319,414.615,603.59,636.227,655.165
1100.806,1126.19,995.238,923.516,890.879
529.048,779.67,798.205,693.443,594.322
313.48,465.385,629.78,545.971,643.077
493.187,737.363,788.938,650.733,657.18
1235.788,1099.597,957.363,1012.967,790.147
832.454,983.15,958.169,826.41,758.315
371.502,495.604,582.637,570.952,592.308
1136.264,1170.513,999.267,987.582,821.172
518.169,610.037,645.495,674.103,714.799
1191.465,1025.055,940.037,990.806,780.879
967.033,1323.626,1112.088,843.333,775.238
1199.927,800.22,866.3,1046.007,1133.04
1156.41,1230.549,1040.769,977.106,848.571
1032.308,905.788,838.498,887.656,878.791
599.963,608.425,662.418,704.725,648.718
1141.099,1027.07,958.974,971.465,887.253
480.293,563.7,599.56,659.597,553.626
1085.495,692.234,771.612,960.989,981.941
473.04,858.242,790.549,623.333,605.604
410.586,517.363,581.026,581.026,723.663
643.48,953.333,880.806,735.751,710.366
801.026,794.982,718.022,807.875,751.868
904.579,1118.132,979.121,872.344,697.473
1024.652,770.806,782.894,908.608,905.385
1103.626,954.945,872.747,961.392,844.139
1156.41,1091.135,950.11,997.656,838.901
271.978,715.604,717.216,440.806,550
714.799,640.659,682.967,711.172,766.374
458.938,513.333,603.59,647.509,585.861
493.993,613.26,655.165,610.037,605.201
916.264,984.359,839.707,884.432,831.245
792.967,603.993,664.835,776.85,796.19
1131.026,1101.612,1001.685,999.67,863.48
1011.355,853.407,847.766,933.187,881.612
657.18,1075.421,920.696,719.231,614.066
752.674,444.029,599.158,756.3,898.535
911.429,754.286,728.498,890.073,721.648
550.806,608.425,614.469,648.718,614.066
1231.355,1310.733,1075.018,1086.3,886.044
532.674,670.879,0,574.176,494.799
1154.799,528.645,983.15,1587.143,702.308
794.579,1060.11,535.092,732.93,952.527
790.952,1140.696,701.502,717.619,601.575
721.648,528.645,525.018,606.813,772.418
1013.37,1627.436,996.044,1243.846,829.634
755.092,1243.04,1032.711,810.696,641.868
672.088,0,457.729,722.454,728.901
602.381,888.462,403.736,348.132,519.377
1064.139,1351.429,884.835,1123.773,910.623
703.114,0,1039.56,550,588.278
1494.872,0.806,115.238,1399.377,803.443
751.868,980.733,932.381,834.066,728.095
1032.711,1162.857,969.853,1028.278,1008.535
507.692,213.15,544.762,458.132,531.868
887.253,581.831,735.751,874.359,1068.974
961.392,965.018,805.861,961.392,838.095
1061.319,1321.612,757.509,1080.256,991.209
825.201,770,730.11,814.322,544.359
852.198,1263.187,1018.608,866.703,711.978
424.286,118.864,453.7,402.125,816.337
795.385,702.308,692.234,803.04,758.315
1004.103,1356.667,1079.048,1027.473,900.549
544.762,333.223,555.641,533.883,534.286
929.158,928.352,807.07,937.216,847.766
861.465,606.007,718.828,863.077,877.18
870.733,1249.084,1051.245,881.209,712.381
564.505,165.201,487.143,531.062,536.3
839.304,1298.645,1075.421,847.766,740.586
622.93,985.165,923.516,576.19,515.348
884.835,826.007,746.63,886.447,904.176
560.073,471.429,707.143,558.864,483.919
516.557,55.201,478.278,404.542,489.158
1021.026,1583.114,1158.828,1083.077,960.183
673.7,708.352,851.795,639.451,605.201
1024.652,967.436,982.344,1068.974,1266.813
492.784,333.223,580.623,436.374,407.363
830.037,1228.938,1068.571,848.169,769.597
715.604,1007.729,927.949,710.769,628.571
468.205,409.377,665.641,476.667,494.396
486.337,176.886,521.795,427.912,481.099
981.538,1050.44,820.366,978.718,820.366
689.414,426.3,612.857,662.82,632.601
752.271,550,647.106,713.59,731.722
1030.696,1588.755,1096.374,1070.183,889.267
570.952,506.484,611.245,494.396,532.271
535.495,179.304,557.656,495.201,495.604
986.374,1101.209,871.538,1002.894,927.949
1105.238,1419.927,998.059,1120.952,921.502
494.799,112.418,515.751,436.777,606.813
990,848.169,804.652,1042.381,946.081
691.429,526.63,872.747,672.894,657.985
911.026,1254.322,855.421,955.751,869.927
566.923,420.256,620.11,502.051,497.216
924.725,1190.256,928.352,969.048,1008.132
855.018,1333.7,1038.755,860.659,767.18
590.293,290.916,579.011,643.883,620.11
954.542,544.762,758.315,967.839,1264.396
1100,1529.927,1079.048,1110.073,958.571
842.93,921.099,788.535,833.26,823.993
752.674,445.641,654.359,753.48,788.535
719.231,580.22,705.934,557.656,498.828
953.333,1246.264,963.81,1008.535,942.051
944.066,1212.015,929.56,987.985,921.099
735.348,985.971,905.385,763.15,739.377
784.908,720.037,683.37,778.462,666.044
1116.923,1307.106,0,904.982,834.872
799.414,320.733,420.659,738.571,807.07
656.777,748.242,916.264,711.575,861.465
963.004,1423.956,963.81,962.198,809.487
610.842,322.344,559.67,581.429,562.491
919.89,1614.139,1620.183,959.78,711.172
933.59,1481.575,1077.436,956.96,750.659
447.656,305.018,613.663,303.004,633.407
853.407,887.253,844.542,873.15,786.923
